City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Porto Velho,BR,2022-03-12 00:58:35,-8.7619,-63.9039,80.65,83,0,3.44
1,Atuona,PF,2022-03-12 01:00:10,-9.8,-139.0333,78.8,77,99,17.31
2,Avera,US,2022-03-12 01:00:14,33.194,-82.5271,55.38,96,100,4.61
3,Lixourion,GR,2022-03-12 01:00:16,38.2019,20.4314,42.85,54,79,3.15
4,Tuktoyaktuk,CA,2022-03-12 01:00:18,69.4541,-133.0374,-4.0,77,100,12.66
5,Isangel,VU,2022-03-12 01:00:20,-19.55,169.2667,83.34,72,19,1.54
6,Vanderhoof,CA,2022-03-12 01:00:25,54.0166,-124.0198,42.66,77,100,8.81
7,Diego De Almagro,CL,2022-03-12 01:00:26,-26.3667,-70.05,65.77,46,2,2.13
8,New Norfolk,AU,2022-03-12 01:00:28,-42.7826,147.0587,69.93,43,94,4.0
9,Castro,BR,2022-03-12 00:59:51,-24.7911,-50.0119,64.87,97,100,4.29
10,Ponta Do Sol,PT,2022-03-12 01:00:30,32.6667,-17.1,62.71,71,54,2.89
11,Ryabovo,RU,2022-03-12 01:00:30,59.4,31.1333,30.2,97,100,3.83
12,Upernavik,GL,2022-03-12 01:00:32,72.7868,-56.1549,-17.86,100,100,7.72
13,Carballo,ES,2022-03-12 01:00:35,43.213,-8.691,46.87,86,97,5.44
14,Norman Wells,CA,2022-03-12 01:00:36,65.282,-126.8329,-8.52,93,100,7.63
15,Airai,TL,2022-03-12 01:00:37,-8.9266,125.4092,70.54,73,100,3.02
16,Port Lincoln,AU,2022-03-12 01:00:37,-34.7333,135.8667,71.1,58,0,13.47
17,Lod,IL,2022-03-12 01:00:38,31.9514,34.8953,49.62,75,75,2.3
18,Cherskiy,RU,2022-03-12 01:00:39,68.75,161.3,5.61,73,1,1.79
19,Butaritari,KI,2022-03-12 01:00:40,3.0707,172.7902,81.73,78,14,18.97
20,Puerto Ayora,EC,2022-03-12 01:00:41,-0.7393,-90.3518,78.55,94,60,2.21
21,Khatanga,RU,2022-03-12 01:00:42,71.9667,102.5,-25.69,99,100,5.75
22,Klaksvik,FO,2022-03-12 01:00:42,62.2266,-6.589,45.52,92,100,42.68
23,Ribeira Grande,PT,2022-03-12 01:00:43,38.5167,-28.7,59.29,74,100,12.62
24,Ushuaia,AR,2022-03-12 00:59:47,-54.8,-68.3,46.06,61,0,14.97
25,Petropavlovka,RU,2022-03-12 01:00:44,50.6114,105.3196,8.06,86,72,2.46
26,Bambous Virieux,MU,2022-03-12 01:00:45,-20.3428,57.7575,77.25,94,40,9.22
27,Severomuysk,RU,2022-03-12 01:00:45,56.1481,113.4267,-7.35,89,87,0.49
28,Mount Isa,AU,2022-03-12 01:00:46,-20.7333,139.5,92.97,21,9,10.36
29,Bengkulu,ID,2022-03-12 01:00:46,-3.8004,102.2655,78.26,81,98,3.98
30,Hilo,US,2022-03-12 01:00:37,19.7297,-155.09,78.24,76,16,3.0
31,Half Moon Bay,US,2022-03-12 01:00:47,37.4636,-122.4286,71.89,46,0,14.97
32,Mataura,NZ,2022-03-12 01:00:48,-46.1927,168.8643,60.48,65,50,10.63
33,Tasiilaq,GL,2022-03-12 01:00:48,65.6145,-37.6368,33.96,92,100,30.4
34,Cape Town,ZA,2022-03-12 00:59:30,-33.9258,18.4232,71.11,82,0,2.3
35,Ahuimanu,US,2022-03-12 01:00:49,21.4447,-157.8378,81.86,68,19,5.99
36,Camacha,PT,2022-03-12 01:00:50,33.0833,-16.3333,56.62,77,20,6.91
37,Esperance,AU,2022-03-12 01:00:50,-33.8667,121.9,76.64,47,100,13.96
38,Barrow,US,2022-03-12 01:00:51,71.2906,-156.7887,-0.38,78,40,9.22
39,Mandalgovi,MN,2022-03-12 00:58:55,45.7625,106.2708,20.59,62,6,15.32
40,Hermanus,ZA,2022-03-12 01:00:51,-34.4187,19.2345,67.8,78,0,5.86
41,Duluth,US,2022-03-12 00:57:41,46.7833,-92.1066,9.28,48,0,18.41
42,Colchester,GB,2022-03-12 01:00:45,51.8892,0.9042,48.29,85,100,16.98
43,Albany,US,2022-03-12 01:00:52,42.6001,-73.9662,45.66,62,100,5.97
44,Toyooka,JP,2022-03-12 01:01:53,35.5333,134.8333,62.28,62,11,2.91
45,Avarua,CK,2022-03-12 01:01:53,-21.2078,-159.775,84.25,79,40,6.91
46,Rikitea,PF,2022-03-12 01:01:54,-23.1203,-134.9692,78.67,67,2,1.52
47,Laguna,US,2022-03-12 01:01:55,38.421,-121.4238,71.89,22,0,4.61
48,Piedras Negras,MX,2022-03-12 00:58:13,28.7,-100.5167,53.28,32,0,22.26
49,Caravelas,BR,2022-03-12 01:01:55,-17.7125,-39.2481,76.77,86,20,4.68
50,Punta Arenas,CL,2022-03-12 01:01:56,-53.15,-70.9167,48.11,64,0,8.12
51,Yamada,JP,2022-03-12 01:01:56,39.4667,141.95,47.14,43,0,13.29
52,Carnarvon,AU,2022-03-12 01:01:57,-24.8667,113.6333,79.97,68,0,7.47
53,Richards Bay,ZA,2022-03-12 01:01:57,-28.783,32.0377,73.6,86,76,3.74
54,Sao Filipe,CV,2022-03-12 01:01:58,14.8961,-24.4956,73.99,61,0,9.4
55,Mazagao,BR,2022-03-12 01:01:58,-0.115,-51.2894,73.74,94,100,2.75
56,Victoria,HK,2022-03-12 00:57:05,22.2855,114.1577,72.32,75,5,5.01
57,Hami,CN,2022-03-12 01:01:59,42.8,93.45,49.23,37,100,4.47
58,Makushino,RU,2022-03-12 01:01:59,55.2103,67.2442,-10.08,94,38,8.5
59,Vaini,TO,2022-03-12 01:02:00,-21.2,-175.2,81.66,79,17,15.03
60,Port Elizabeth,ZA,2022-03-12 01:01:49,-33.918,25.5701,72.39,84,87,13.71
61,Calvinia,ZA,2022-03-12 01:02:01,-31.4707,19.776,71.2,59,92,7.96
62,Acapulco,MX,2022-03-12 01:02:01,16.8634,-99.8901,77.65,64,0,10.18
63,Provideniya,RU,2022-03-12 01:02:02,64.3833,-173.3,26.65,56,0,12.24
64,Sierpc,PL,2022-03-12 00:59:35,52.8568,19.6691,24.94,49,10,6.26
65,Hobart,AU,2022-03-12 01:00:06,-42.8794,147.3294,70.27,47,20,11.5
66,Busselton,AU,2022-03-12 01:02:03,-33.65,115.3333,75.67,73,0,13.71
67,Mar Del Plata,AR,2022-03-12 01:02:03,-38.0023,-57.5575,61.09,68,0,8.01
68,Bluff,NZ,2022-03-12 01:02:03,-46.6,168.3333,60.8,75,20,19.08
69,Faanui,PF,2022-03-12 01:02:04,-16.4833,-151.75,81.43,71,10,12.26
70,Chokurdakh,RU,2022-03-12 01:02:04,70.6333,147.9167,-8.7,94,100,8.79
71,Atasu,KZ,2022-03-12 01:02:05,48.6814,71.6433,27.14,98,100,2.77
72,Bredasdorp,ZA,2022-03-12 00:58:11,-34.5322,20.0403,67.32,88,0,3.44
73,Anchorage,US,2022-03-12 00:58:33,61.2181,-149.9003,40.64,85,100,5.01
74,Chake Chake,TZ,2022-03-12 01:02:06,-5.2459,39.7666,76.26,83,71,7.52
75,Sao Joao Da Barra,BR,2022-03-12 01:02:06,-21.6403,-41.0511,78.94,84,5,18.79
76,Miri,MY,2022-03-12 01:02:07,4.4148,114.0089,79.68,85,100,2.62
77,Port Alfred,ZA,2022-03-12 01:02:07,-33.5906,26.891,72.55,86,100,7.81
78,Yarada,IN,2022-03-12 00:58:43,17.65,83.2667,70.12,94,20,2.3
79,Qaanaaq,GL,2022-03-12 01:02:08,77.484,-69.3632,-12.46,77,19,4.85
80,Lompoc,US,2022-03-12 01:02:08,34.6391,-120.4579,69.94,30,0,12.66
81,Cidreira,BR,2022-03-12 01:02:09,-30.1811,-50.2056,69.67,71,100,12.66
82,Morro Bay,US,2022-03-12 00:59:08,35.3658,-120.8499,69.71,37,0,1.99
83,Batemans Bay,AU,2022-03-12 01:02:09,-35.7167,150.1833,71.1,64,25,5.37
84,Meulaboh,ID,2022-03-12 01:02:10,4.1363,96.1285,77.86,83,79,3.42
85,Emerald,AU,2022-03-12 01:01:27,-23.5333,148.1667,82.35,56,69,18.1
86,Saint-Augustin,CA,2022-03-12 01:03:10,51.226,-58.6502,-3.71,86,0,6.44
87,Geraldton,AU,2022-03-12 01:03:11,-28.7667,114.6,77.41,73,8,10.36
88,Guiglo,CI,2022-03-12 01:03:11,6.5456,-7.4966,76.48,84,100,3.02
89,Kaitong,CN,2022-03-12 01:03:12,44.8135,123.15,33.8,65,100,8.93
90,Yellowknife,CA,2022-03-12 01:01:22,62.456,-114.3525,1.42,86,100,10.0
91,Atambua,ID,2022-03-12 01:03:12,-9.1061,124.8925,80.82,75,99,2.17
92,Saint-Pierre,RE,2022-03-12 01:03:13,-21.3393,55.4781,74.91,75,0,5.75
93,Moranbah,AU,2022-03-12 01:03:13,-22.0016,148.0466,80.15,65,100,19.19
94,Nhulunbuy,AU,2022-03-12 01:03:14,-12.2333,136.7667,84.81,70,100,5.75
95,Constitucion,CL,2022-03-12 01:03:14,-35.3333,-72.4167,57.6,78,0,0.67
96,Bitung,ID,2022-03-12 01:03:15,1.4451,125.1824,86.85,70,100,3.8
97,Saint-Philippe,RE,2022-03-12 01:03:15,-21.3585,55.7679,74.21,82,41,9.64
98,Iskateley,RU,2022-03-12 01:03:15,67.6803,53.1512,20.89,94,97,12.77
99,Buala,SB,2022-03-12 01:03:16,-8.145,159.5921,83.59,75,62,4.52
100,San Cristobal,VE,2022-03-12 01:03:16,7.7669,-72.225,67.28,96,98,2.51
101,Sabang,ID,2022-03-12 01:03:17,5.8933,95.3214,82.33,72,94,7.47
102,Saint-Georges,GD,2022-03-12 00:59:25,12.0564,-61.7485,77.95,73,14,18.59
103,Mahebourg,MU,2022-03-12 01:03:17,-20.4081,57.7,77.29,94,40,9.22
104,Juneau,US,2022-03-12 00:58:24,58.3019,-134.4197,36.21,99,100,5.1
105,Amarante Do Maranhao,BR,2022-03-12 01:03:18,-5.5667,-46.7422,72.39,95,100,2.28
106,North Platte,US,2022-03-12 01:00:53,41.1239,-100.7654,24.26,54,49,5.99
107,Myrtle Grove,US,2022-03-12 01:03:19,30.421,-87.3075,70.3,96,100,5.75
108,Gweta,BW,2022-03-12 01:03:19,-20.1833,25.2333,72.45,46,79,15.3
109,Parabel,RU,2022-03-12 01:03:20,58.6978,81.4825,-22.2,100,76,3.71
110,Thompson,CA,2022-03-12 01:03:20,55.7435,-97.8558,-1.89,96,100,3.71
111,Polunochnoye,RU,2022-03-12 01:03:21,60.8697,60.4153,-5.55,98,100,3.74
112,Grand Gaube,MU,2022-03-12 01:03:21,-20.0064,57.6608,77.4,89,97,14.52
113,Umm Lajj,SA,2022-03-12 01:03:22,25.0213,37.2685,63.46,53,0,16.11
114,Florida,US,2022-03-12 01:03:22,28.7505,-82.5001,75.9,91,75,5.75
115,Turukhansk,RU,2022-03-12 01:03:23,65.8167,87.9833,-20.31,100,58,4.41
116,Luderitz,NA,2022-03-12 01:03:23,-26.6481,15.1594,67.77,83,48,8.32
117,Pevek,RU,2022-03-12 01:03:23,69.7008,170.3133,4.06,76,0,2.93
118,Letnyaya Stavka,RU,2022-03-12 01:03:24,45.4306,43.4472,23.76,90,100,6.22
119,Sept-Iles,CA,2022-03-12 01:03:24,50.2001,-66.3821,10.06,71,89,1.99
120,Hithadhoo,MV,2022-03-12 01:03:25,-0.6,73.0833,81.95,64,6,5.48
121,Oranjestad,AW,2022-03-12 01:03:25,12.524,-70.027,78.44,85,95,23.33
122,Menongue,AO,2022-03-12 01:03:25,-14.6585,17.691,64.15,98,100,1.99
123,Khandbari,NP,2022-03-12 01:03:26,27.3747,87.2039,61.47,35,0,4.83
124,Timra,SE,2022-03-12 01:03:26,62.487,17.3257,31.68,86,31,2.3
125,Makakilo City,US,2022-03-12 01:03:27,21.3469,-158.0858,80.69,60,14,16.73
126,Jamestown,US,2022-03-12 01:00:00,42.097,-79.2353,32.52,70,100,6.91
